team,player,shot,airtime,arm_raised,jumping_point,jump_length,jump_angle, comment
DJ,1,f1,0.460,"1,1",55.3,184.7,-27
DJ,2,f1,0.420,"1,1",35.4,117.6,-9
DJ,3,f1,0.540,"1,1",23.8,170.3,-23
DJ,4,f1,0.300,"1,1",60,170.3,-45
DJ,1,f2,0.460,"1,1",52.9,231.1,-
DJ,2,f2,0.420,"1,1",37.7,160.5,-30
DJ,3,f2,0.500,"1,1",20.5,205.4,-25
DJ,4,f2,0.300,"1,1",44.6,196.4,-39
DJ,1,f3,0.500,"1,1",43.7,166.3,-24
DJ,2,f3,0.420,"1,1",44.7,183.1,-36
DJ,3,f3,0.480,"1,1",13.4,200.5,-29
DJ,4,f3,0.340,"1,1",33.5,189.0,-40
DJ,1,f4,0.460,"1,1",54.1,170.5,-9
DJ,2,f4,0.420,"1,1",39.6,177.5,-34
DJ,3,f4,0.460,"1,1",27.9,196.5,-21
DJ,4,f4,0.320,"1,1",38.9,191.2,-39
DJ,1,p11,0.540,"1,1",55.7,164.2,-29
DJ,2,p11,0.420,"1,1",36.2,132.8,-23
DJ,3,p11,0.500,"1,1",37.6,159.4,-16
DJ,4,p11,0.380,"1,1",54.3,175.4,-30
DJ,1,p12,0.540,"1,1",40.3,159.1,-24
DJ,2,p12,0.460,"1,1",43.3,130.8,-22
DJ,3,p12,0.460,"1,1",25.6,156.3,-20
DJ,4,p12,0.380,"1,1",46.4,186.6,-30
DJ,1,p21,0.500,"1,1",47.6,115.4,8
DJ,2,p21,0.420,"1,1",48.2,148.4,-26
DJ,3,p21,0.540,"1,1",49.2,163.3,-28
DJ,4,p21,0.380,"1,1",47.2,170.4,-35
DJ,1,p22,0.580,"1,1",50.9,162.2,-35
DJ,2,p22,0.460,"1,1",46.9,149.6,-26
DJ,3,p22,0.580,"1,1",32.6,161.3,-23
DJ,4,p22,0.380,"1,1",49.3,185.5,-31
DJ,1,p31,0.540,"1,1",52.9,177.4,-23
DJ,2,p31,0.420,"1,1",42.8,143.5,-31
DJ,3,p31,0.580,"1,1",39.8,183.5,-35
DJ,4,p31,0.380,"1,1",44.6,189.0,-35
DJ,1,p32,0.500,"1,1",55.2,122.2,-6
DJ,2,p32,0.460,"1,1",48.1,164.8,-28
DJ,3,p32,0.580,"1,1",40.3,187.8,-31
DJ,4,p32,0.340,"1,1",46.8,197.3,-33
DJ,1,p41,0.460,"1,1",37.7,139.8,-26
DJ,2,p41,0.420,"1,1",45.0,156.2,-35
DJ,3,p41,0.580,"1,1",25.5,183.1,-34
DJ,4,p41,0.340,"1,1",46.0,195.7,-37
DJ,1,p42,0.500,"1,1",36.0,145.9,-18
DJ,2,p42,0.340,"1,1",39.5,162.6,-32
DJ,3,p42,0.580,"1,1",19.1,198.4,-36
DJ,4,p42,0.420,"1,1",35.6,200.5,-39
DJ,1,p51,0.540,"1,1",40.2,182.6,-36
DJ,2,p51,0.420,"1,1",43.6,165.0,-33
DJ,3,p51,0.540,"1,1",31.7,189.2,-28
